"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2017","2,053.81","2,051.47","2,061.60","2,041.28","-","0.08%"
"Sep 14, 2017","2,052.25","2,054.66","2,055.93","2,036.22","-","-0.09%"
"Sep 13, 2017","2,054.19","2,059.40","2,072.96","2,054.19","-","-0.22%"
"Sep 12, 2017","2,058.80","2,045.85","2,059.96","2,044.07","-","0.72%"
"Sep 11, 2017","2,044.13","2,038.78","2,049.07","2,032.92","-","0.56%"
"Sep 08, 2017","2,032.75","2,010.55","2,037.48","2,010.55","-","1.12%"
"Sep 07, 2017","2,010.17","2,017.52","2,025.37","2,010.17","-","-0.22%"
"Sep 06, 2017","2,014.60","2,001.97","2,015.63","1,992.68","-","0.53%"
"Sep 05, 2017","2,004.02","2,005.23","2,014.03","1,995.94","-","0.03%"
"Sep 04, 2017","2,003.32","2,005.08","2,012.29","1,999.84","-","-0.38%"
"Sep 01, 2017","2,010.98","2,021.93","2,030.37","2,008.49","-","-0.56%"
"Aug 31, 2017","2,022.22","2,006.07","2,030.86","2,001.66","-","0.66%"
"Aug 30, 2017","2,008.88","1,993.00","2,009.29","1,988.78","-","0.99%"
"Aug 29, 2017","1,989.12","1,986.10","1,989.12","1,967.11","-","0.10%"
"Aug 28, 2017","1,987.15","1,978.79","1,987.23","1,972.76","-","0.40%"
"Aug 25, 2017","1,979.14","1,973.44","1,981.79","1,973.39","-","0.29%"
"Aug 24, 2017","1,973.50","1,958.83","1,973.50","1,958.83","-","0.76%"
"Aug 23, 2017","1,958.52","1,947.77","1,958.58","1,944.30","-","0.57%"
"Aug 22, 2017","1,947.40","1,939.95","1,948.28","1,938.90","-","0.50%"
"Aug 21, 2017","1,937.66","1,932.25","1,943.78","1,932.25","-","0.36%"
"Aug 18, 2017","1,930.71","1,937.51","1,937.51","1,921.34","-","-0.56%"
"Aug 17, 2017","1,941.52","1,941.55","1,947.95","1,936.95","-","-0.07%"
"Aug 16, 2017","1,942.88","1,952.11","1,957.62","1,941.07","-","-0.38%"
"Aug 15, 2017","1,950.28","1,950.42","1,952.60","1,938.58","-","-0.08%"
"Aug 14, 2017","1,951.75","1,947.69","1,960.38","1,946.67","-","0.36%"
"Aug 11, 2017","1,944.83","1,953.56","1,953.56","1,933.69","-","-0.79%"
"Aug 10, 2017","1,960.23","1,977.15","1,983.74","1,959.05","-","-0.79%"
"Aug 09, 2017","1,975.91","1,985.31","1,987.95","1,973.08","-","-0.69%"
"Aug 08, 2017","1,989.61","1,970.30","1,989.77","1,969.75","-","0.98%"
"Aug 07, 2017","1,970.37","1,953.62","1,970.96","1,953.62","-","0.86%"
"Aug 04, 2017","1,953.49","1,962.46","1,962.46","1,950.57","-","-0.60%"
"Aug 03, 2017","1,965.29","1,965.56","1,976.36","1,961.38","-","-0.01%"
"Aug 02, 2017","1,965.48","1,940.95","1,966.97","1,940.77","-","1.31%"
"Aug 01, 2017","1,940.14","1,924.77","1,948.62","1,924.77","-","1.07%"
"Jul 31, 2017","1,919.53","1,917.34","1,930.27","1,904.56","-","0.15%"
"Jul 28, 2017","1,916.75","1,940.79","1,940.79","1,904.26","-","-1.46%"
"Jul 27, 2017","1,945.12","1,935.12","1,945.12","1,935.12","-","0.62%"
"Jul 26, 2017","1,933.10","1,928.13","1,938.56","1,923.90","-","0.49%"
"Jul 25, 2017","1,923.73","1,931.92","1,936.25","1,913.24","-","-0.42%"
"Jul 24, 2017","1,931.75","1,921.52","1,934.25","1,914.60","-","0.34%"
"Jul 21, 2017","1,925.13","1,946.19","1,946.19","1,921.00","-","-1.10%"
"Jul 20, 2017","1,946.51","1,952.10","1,959.33","1,941.38","-","-0.28%"
"Jul 19, 2017","1,951.89","1,929.67","1,951.89","1,925.70","-","0.21%"
"Jul 18, 2017","1,947.71","1,956.56","1,966.86","1,944.81","-","-0.58%"
"Jul 17, 2017","1,959.11","1,963.29","1,972.49","1,949.55","-","-0.08%"
"Jul 14, 2017","1,960.69","1,959.86","1,967.60","1,955.09","-","0.04%"
"Jul 13, 2017","1,959.91","1,951.66","1,963.37","1,946.61","-","0.28%"
"Jul 12, 2017","1,954.39","1,938.36","1,957.02","1,938.36","-","0.86%"
"Jul 11, 2017","1,937.64","1,927.34","1,938.11","1,919.19","-","0.62%"
"Jul 10, 2017","1,925.74","1,912.76","1,928.10","1,908.99","-","0.69%"
"Jul 07, 2017","1,912.48","1,906.72","1,914.29","1,897.87","-","-0.56%"
"Jul 06, 2017","1,923.22","1,920.59","1,929.43","1,911.96","-","0.10%"
"Jul 05, 2017","1,921.38","1,917.36","1,924.53","1,912.31","-","0.21%"
"Jul 04, 2017","1,917.40","1,902.64","1,919.23","1,899.17","-","0.78%"
"Jul 03, 2017","1,902.59","1,886.72","1,902.59","1,881.98","-","1.23%"
"Jun 30, 2017","1,879.50","1,879.16","1,895.98","1,877.57","-","-0.08%"
